ALABAMA	692	8697154	1049	556
ARKANSAS	704	1575988	865	506
ARIZONA	2746	14345882	292	494
CALIFORNIA	9931	9182235	93	375
COLORADO	1558	10198583	495	375
CONNECTICUT	999	11513775	1390	240
DELAWARE	188	1677215	1361	337
FLORIDA	4129	254	1128	681
GEORGIA	1364	131071	1150	550
IOWA	730	11706317	823	291
IDAHO	546	9461028	275	206
ILLINOIS	2820	5115205	955	344
INDIANA	1474	7608660	1035	341
KANSAS	678	5882278	690	397
KENTUCKY	958	5964587	1061	421
LOUISIANA	603	2660053	889	638
MASSACHUSETTS	1368	4539717	1396	212
MARYLAND	900	6645093	1296	321
MAINE	661	15592576	1436	113
MICHIGAN	2164	12066432	1060	245
MINNESOTA	1107	8930459	802	172
MISSOURI	1663	3419253	858	401
MISSISSIPPI	438	15527578	956	561
MONTANA	539	16694842	425	132
NORTH CAROLINA	1890	16711934	1236	451
NORTH DAKOTA	146	3580744	645	136
NEBRASKA	438	17956	655	306	
NEW HAMPSHIRE	536	16560127	1399	176
NEW JERSEY	1538	16559929	1389	305
NEW MEXICO	841	9086781	453	502
NEVADA	944	2694933	195	321
NEW YORK	3415	6632294	1292	232
OHIO	2508	16646144	1122	325	
OKLAHOMA	791	101272	734	489
OREGON	1900	16563353	122	170
PENNSYLVANIA	2630	3368294	1252	291
RHODE ISLAND	296	4652961	1394	288
SOUTH CAROLINA	1083	16776961	1220	504
SOUTH DAKOTA	211	1268783	650	218
TENNESSEE	1237	3543067	1036	470
TEXAS	3914	45289	668	612
UTAH	733	6376479	310	359
VIRGINIA	1401	13158600	1260	390
VERMONT	298	11513601	1369	174
WASHINGTON	4473	16632501	167	75
WISCONSIN	1341	8530048	919	212
WEST VIRGINIA	507	3355443	1184	373
WYOMING	218	16769336	459	247
