Case No. /Date(s)       Location

12 June 24, 1947           Portland, Oregon
27 July 3, 1947            South Brookville, Maine
34 July 4, 1947            Emmett, Idaho
36 July 6, 1947            Fairfield-Suisan AFB, California
50 July 8, 1947            Muroc AFB, California
69 July 29, 1947           Hamilton Field, California
85 September 3, 1947       Oswego, Oregon
91 October 1947            Dodgeville, Wisconsin
95 October 14, 1947        Phoenix, Arizona
139 April 5, 1948          Holloman AFB, New Mexico
185 July 29, 1948          Indianapolis, Indiana
190 July 31, 1948          Indianapolis, Indiana
191 July-August 1948       Marion, Virginia
208 September 23, 1948     San Pablo, California

257 December 3, 1948       Fairfield-Suisan AFB, California
275 January 4, 1949        Hickam Field, Hawaii
284 January 27, 1949       Cortex, Florida
319 March 17-18, 1949      Killeen Base Camp Hood, Texas
358 April 24, 1949         Arrey, New Mexico

361 April 28, 1949         Tucson, Arizona
376 May 5, 1949            Fort Bliss, Texas
379 May 6, 1949            Livermore, California
384 May 9, 1949            Tucson, Arizona
404 May 27, 1949           Southern, Oregon

483 July 24, 1949          Mountain Home, Idaho
496 July 30, 1949          Mount Hood, Oregon
642 February 24, 1950      Albuquerque, New Mexico
645 February 25, 1950      Los Alamos, New Mexico
650 March 3, 1950          Selfridge AFB, Michigan

671 March 20, 1950         Stuttgart, Arkansas
678 March 27, 1950         Motobu, Okinawa
680 March 28, 1950         Santiago, Chile
682 March 29, 1950         Marrowhode Lake, Tennessee
706 April 8, 1950          Kokomo, Indiana

711 April 14, 1950         Fort Monmouth, New Jersey
721 May 7, 1950            East Ely, Nevada
738 June 27, 1950          Texarkana, Texas
758 July 13, 1950          Redstone Arsenal, Georgia

797 September 3, 1950      Spokane, Washington
807 September 20, 1950     Kit Carson, Colorado

809 September 21, 1950     Provincetown, Massachusetts
819 October 15, 1950       Knoxville, Tennessee
821 October 15, 1950       Pope AFB, North Carolina
824 October 23, 1950       Bonlee, North Carolina
829 November 5, 1950       Oak Ridge, Tennessee

848 December 6, 1950       Fort Meyers, Florida
849 December 11, 1950      Alaska
864 January 8, 1951        South of Fort Worth, Texas
868 January 12, 1951       Fort Benning, Georgia

